week commencing,Renfrewshire
2020-03-16,2
2020-03-23,0
2020-03-30,15
2020-04-06,26
2020-04-13,33
2020-04-20,40
2020-04-27,33
2020-05-04,11
2020-05-11,17
2020-05-18,13
2020-05-25,4
2020-06-01,4
2020-06-08,3
2020-06-15,3
2020-06-22,1
2020-06-29,1
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,0
2020-10-05,0
2020-10-12,3
2020-10-19,6
2020-10-26,7
2020-11-02,7
2020-11-09,7
2020-11-16,17
2020-11-23,17
2020-11-30,22
2020-12-07,15
2020-12-14,12
2020-12-21,15
2020-12-28,6
2021,117
2021-01-04,34
2021-01-11,11
2021-01-18,20
2021-01-25,11
2021-02-01,21
2021-02-08,20
