week commencing,West Lothian
2020-03-16,1
2020-03-23,2
2020-03-30,8
2020-04-06,15
2020-04-13,8
2020-04-20,12
2020-04-27,6
2020-05-04,13
2020-05-11,3
2020-05-18,9
2020-05-25,6
2020-06-01,4
2020-06-08,3
2020-06-15,2
2020-06-22,2
2020-06-29,4
2020-07-06,2
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,3
2020-10-05,4
2020-10-12,11
2020-10-19,6
2020-10-26,9
2020-11-02,6
2020-11-09,19
2020-11-16,14
2020-11-23,19
2020-11-30,20
2020-12-07,12
2020-12-14,10
2020-12-21,6
2020-12-28,5
2021,32
2021-01-04,10
2021-01-11,6
2021-01-18,4
2021-01-25,5
2021-02-01,3
2021-02-08,4
