week commencing,Care Home,Home / Non-institution,Hospital,Other institution
2019-12-30,306,304,549,2
2020-01-06,356,408,794,9
2020-01-13,320,363,632,7
2020-01-20,295,330,596,5
2020-01-27,279,311,591,7
2020-02-03,287,320,603,6
2020-02-10,258,347,555,2
2020-02-17,267,336,551,8
2020-02-24,267,358,542,4
2020-03-02,288,344,570,6
2020-03-09,260,359,574,5
2020-03-16,275,363,547,11
2020-03-23,261,352,465,1
2020-03-30,443,565,729,7
2020-04-06,602,595,772,9
2020-04-13,683,526,702,5
2020-04-20,690,508,635,3
2020-04-27,639,504,530,6
2020-05-04,489,437,508,1
2020-05-11,436,471,510,4
2020-05-18,351,443,428,4
2020-05-25,295,402,431,0
2020-06-01,263,389,440,1
2020-06-08,236,407,389,2
2020-06-15,236,391,436,2
2020-06-22,227,378,399,4
2020-06-29,182,385,403,13
2020-07-06,200,373,396,7
2020-07-13,219,373,439,2
2020-07-20,210,370,374,7
2020-07-27,214,380,445,4
2020-08-03,210,373,420,8
2020-08-10,201,350,369,2
2020-08-17,234,364,442,6
2020-08-24,206,381,438,5
2020-08-31,216,369,457,8
2020-09-07,217,358,491,3
2020-09-14,207,340,397,8
2020-09-21,201,307,419,6
2020-09-28,263,403,521,9
2020-10-05,221,374,472,5
2020-10-12,248,346,533,7
2020-10-19,254,387,544,2
2020-10-26,248,416,597,1
2020-11-02,272,409,565,4
2020-11-09,293,399,643,3
2020-11-16,319,426,612,3
2020-11-23,304,412,606,7
2020-11-30,297,414,580,5
2020-12-07,271,385,626,2
2020-12-14,293,416,586,2
2020-12-21,275,361,564,5
2020-12-28,252,374,550,2
2021,1850,2943,4507,39
2021-01-04,389,510,819,2
2021-01-11,307,503,734,6
2021-01-18,318,482,745,14
2021-01-25,315,506,774,9
2021-02-01,291,474,735,6
2021-02-08,230,468,700,2
