week commencing,Home / Non-institution
2019-12-30,304
2020-01-06,408
2020-01-13,363
2020-01-20,330
2020-01-27,311
2020-02-03,320
2020-02-10,347
2020-02-17,336
2020-02-24,358
2020-03-02,344
2020-03-09,359
2020-03-16,363
2020-03-23,352
2020-03-30,565
2020-04-06,595
2020-04-13,526
2020-04-20,508
2020-04-27,504
2020-05-04,437
2020-05-11,471
2020-05-18,443
2020-05-25,402
2020-06-01,389
2020-06-08,407
2020-06-15,391
2020-06-22,378
2020-06-29,385
2020-07-06,374
2020-07-13,373
2020-07-20,370
2020-07-27,380
2020-08-03,373
2020-08-10,351
2020-08-17,364
2020-08-24,381
2020-08-31,369
2020-09-07,358
2020-09-14,340
2020-09-21,307
2020-09-28,403
2020-10-05,374
2020-10-12,346
2020-10-19,387
2020-10-26,416
2020-11-02,409
2020-11-09,399
2020-11-16,426
2020-11-23,412
2020-11-30,414
2020-12-07,385
2020-12-14,416
2020-12-21,361
2020-12-28,374
2021,3425
2021-01-04,511
2021-01-11,503
2021-01-18,482
2021-01-25,506
2021-02-01,474
2021-02-08,470
2021-02-15,479
