week commencing,Hospital
2019-12-30,549
2020-01-06,794
2020-01-13,632
2020-01-20,596
2020-01-27,591
2020-02-03,603
2020-02-10,555
2020-02-17,551
2020-02-24,542
2020-03-02,570
2020-03-09,574
2020-03-16,547
2020-03-23,465
2020-03-30,729
2020-04-06,772
2020-04-13,702
2020-04-20,635
2020-04-27,530
2020-05-04,508
2020-05-11,510
2020-05-18,428
2020-05-25,431
2020-06-01,440
2020-06-08,389
2020-06-15,436
2020-06-22,399
2020-06-29,403
2020-07-06,396
2020-07-13,439
2020-07-20,375
2020-07-27,445
2020-08-03,420
2020-08-10,372
2020-08-17,442
2020-08-24,438
2020-08-31,457
2020-09-07,491
2020-09-14,397
2020-09-21,419
2020-09-28,521
2020-10-05,472
2020-10-12,533
2020-10-19,544
2020-10-26,597
2020-11-02,565
2020-11-09,643
2020-11-16,612
2020-11-23,606
2020-11-30,580
2020-12-07,626
2020-12-14,586
2020-12-21,564
2020-12-28,550
2021,5203
2021-01-04,819
2021-01-11,734
2021-01-18,745
2021-01-25,774
2021-02-01,735
2021-02-08,707
2021-02-15,689
