week commencing,Other institution
2019-12-30,2
2020-01-06,9
2020-01-13,7
2020-01-20,5
2020-01-27,7
2020-02-03,6
2020-02-10,2
2020-02-17,8
2020-02-24,4
2020-03-02,6
2020-03-09,5
2020-03-16,11
2020-03-23,1
2020-03-30,7
2020-04-06,9
2020-04-13,5
2020-04-20,3
2020-04-27,6
2020-05-04,1
2020-05-11,4
2020-05-18,4
2020-05-25,0
2020-06-01,1
2020-06-08,2
2020-06-15,2
2020-06-22,4
2020-06-29,13
2020-07-06,7
2020-07-13,2
2020-07-20,7
2020-07-27,4
2020-08-03,8
2020-08-10,2
2020-08-17,6
2020-08-24,5
2020-08-31,8
2020-09-07,3
2020-09-14,8
2020-09-21,6
2020-09-28,9
2020-10-05,5
2020-10-12,7
2020-10-19,2
2020-10-26,1
2020-11-02,4
2020-11-09,3
2020-11-16,3
2020-11-23,7
2020-11-30,5
2020-12-07,2
2020-12-14,2
2020-12-21,5
2020-12-28,2
2021,45
2021-01-04,2
2021-01-11,6
2021-01-18,14
2021-01-25,9
2021-02-01,6
2021-02-08,2
2021-02-15,6
