week commencing,Care Home
2020-03-16,1
2020-03-23,5
2020-03-30,49
2020-04-06,189
2020-04-13,303
2020-04-20,341
2020-04-27,316
2020-05-04,238
2020-05-11,187
2020-05-18,124
2020-05-25,69
2020-06-01,42
2020-06-08,34
2020-06-15,20
2020-06-22,17
2020-06-29,6
2020-07-06,7
2020-07-13,3
2020-07-20,2
2020-07-27,2
2020-08-03,2
2020-08-10,1
2020-08-17,3
2020-08-24,3
2020-08-31,0
2020-09-07,2
2020-09-14,3
2020-09-21,4
2020-09-28,6
2020-10-05,7
2020-10-12,13
2020-10-19,18
2020-10-26,31
2020-11-02,53
2020-11-09,72
2020-11-16,67
2020-11-23,75
2020-11-30,78
2020-12-07,63
2020-12-14,74
2020-12-21,61
2020-12-28,63
2021,535
2021-01-04,116
2021-01-11,99
2021-01-18,111
2021-01-25,98
2021-02-01,69
2021-02-08,42
