week commencing,Hospital
2020-03-16,8
2020-03-23,43
2020-03-30,193
2020-04-06,357
2020-04-13,311
2020-04-20,277
2020-04-27,193
2020-05-04,153
2020-05-11,128
2020-05-18,95
2020-05-25,55
2020-06-01,39
2020-06-08,27
2020-06-15,28
2020-06-22,16
2020-06-29,12
2020-07-06,5
2020-07-13,3
2020-07-20,4
2020-07-27,3
2020-08-03,2
2020-08-10,2
2020-08-17,2
2020-08-24,3
2020-08-31,2
2020-09-07,3
2020-09-14,8
2020-09-21,5
2020-09-28,13
2020-10-05,17
2020-10-12,58
2020-10-19,82
2020-10-26,128
2020-11-02,144
2020-11-09,199
2020-11-16,162
2020-11-23,165
2020-11-30,145
2020-12-07,155
2020-12-14,126
2020-12-21,129
2020-12-28,115
2021,1648
2021-01-04,256
2021-01-11,244
2021-01-18,298
2021-01-25,302
2021-02-01,282
2021-02-08,266
