week commencing,Home / Non-institution
2020-03-16,2
2020-03-23,14
2020-03-30,39
2020-04-06,64
2020-04-13,37
2020-04-20,44
2020-04-27,17
2020-05-04,22
2020-05-11,19
2020-05-18,9
2020-05-25,7
2020-06-01,8
2020-06-08,7
2020-06-15,1
2020-06-22,3
2020-06-29,1
2020-07-06,1
2020-07-13,0
2020-07-20,2
2020-07-27,1
2020-08-03,1
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,1
2020-09-28,0
2020-10-05,1
2020-10-12,5
2020-10-19,6
2020-10-26,9
2020-11-02,10
2020-11-09,8
2020-11-16,18
2020-11-23,11
2020-11-30,10
2020-12-07,8
2020-12-14,8
2020-12-21,9
2020-12-28,9
2021,157
2021-01-04,19
2021-01-11,26
2021-01-18,35
2021-01-25,39
2021-02-01,23
2021-02-08,15
