week commencing,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2019-12-30,105,20,37,70,76,113,250,75,138,166,1,5,96,9
2020-01-06,121,41,58,96,92,148,353,95,194,196,5,4,156,8
2020-01-13,114,38,42,96,68,122,296,94,165,155,2,2,118,10
2020-01-20,103,29,42,96,78,117,235,77,161,165,4,2,107,10
2020-01-27,96,27,43,79,67,109,264,82,151,154,2,5,99,10
2020-02-03,88,24,44,81,55,131,245,69,169,191,5,6,97,11
2020-02-10,76,25,43,80,73,119,243,68,155,171,3,4,99,3
2020-02-17,105,23,39,88,65,131,238,66,144,152,1,4,98,8
2020-02-24,99,35,37,79,57,111,255,78,136,171,4,3,96,10
2020-03-02,105,32,40,79,75,106,283,70,151,166,5,4,86,6
2020-03-09,109,29,36,80,55,128,244,78,143,182,6,3,94,11
2020-03-16,101,36,41,70,66,132,264,72,138,169,7,3,92,5
2020-03-23,108,23,28,98,74,112,167,70,137,144,8,9,96,5
2020-03-30,121,42,73,82,96,141,479,102,231,228,9,8,126,6
2020-04-06,131,37,53,109,110,158,499,100,274,313,11,8,167,8
2020-04-13,158,31,42,113,85,169,482,107,272,271,4,3,171,8
2020-04-20,139,30,43,102,97,147,518,94,238,258,6,2,152,10
2020-04-27,122,27,45,110,107,139,410,78,207,280,3,6,140,5
2020-05-04,100,24,35,91,104,128,344,83,207,207,2,6,102,2
2020-05-11,120,28,39,81,85,110,342,83,168,224,5,6,126,4
2020-05-18,99,32,31,67,59,97,308,73,151,189,8,2,105,5
2020-05-25,88,18,33,90,50,110,245,74,142,156,5,5,105,7
2020-06-01,75,33,31,71,69,111,236,73,134,154,8,3,90,5
2020-06-08,88,27,37,51,63,95,235,67,129,136,2,4,90,10
2020-06-15,88,29,42,63,52,95,217,66,137,168,5,3,92,8
2020-06-22,84,21,32,72,67,97,235,54,148,125,4,0,63,6
2020-06-29,76,25,37,76,53,83,208,65,109,139,2,4,101,5
2020-07-06,83,34,37,64,44,110,198,67,111,125,4,7,88,5
2020-07-13,92,24,31,75,68,94,220,72,127,120,3,5,95,7
2020-07-20,70,30,31,63,55,87,213,56,136,135,4,3,74,5
2020-07-27,87,19,43,94,59,122,225,59,128,114,4,3,79,7
2020-08-03,91,26,33,75,48,91,214,86,129,125,3,4,79,7
2020-08-10,63,24,30,73,41,92,204,61,125,131,5,1,67,11
2020-08-17,85,25,43,93,54,111,205,80,131,127,3,2,81,6
2020-08-24,66,24,28,76,64,85,225,65,151,143,8,3,84,8
2020-08-31,86,19,42,79,63,97,229,67,146,123,4,6,85,4
2020-09-07,88,31,40,69,63,105,224,66,138,128,6,6,99,6
2020-09-14,58,23,38,78,54,100,218,63,126,108,3,3,71,9
2020-09-21,73,23,34,69,59,100,196,51,126,121,5,2,69,5
2020-09-28,100,30,40,86,75,102,249,77,154,172,3,2,103,3
2020-10-05,87,23,37,81,64,101,227,57,141,147,6,4,90,7
2020-10-12,94,17,42,69,72,105,251,70,142,175,2,4,85,6
2020-10-19,96,25,42,73,70,100,270,80,148,172,3,6,99,3
2020-10-26,118,19,62,70,58,111,298,62,183,177,5,4,88,7
2020-11-02,128,30,31,79,71,93,341,73,152,146,4,4,92,6
2020-11-09,121,23,35,73,73,95,352,69,197,180,6,2,110,2
2020-11-16,120,22,33,79,85,113,329,83,183,194,8,2,102,7
2020-11-23,127,28,39,92,72,91,301,64,214,171,7,4,107,12
2020-11-30,116,19,39,86,65,112,313,69,183,177,6,4,100,7
2020-12-07,91,21,38,112,64,120,268,87,191,166,4,1,113,8
2020-12-14,113,27,31,93,70,115,282,82,165,183,8,7,115,6
2020-12-21,110,24,45,85,75,118,262,65,156,154,8,4,92,7
2020-12-28,118,30,51,79,58,141,229,62,126,179,5,3,92,5
2021,892,223,405,779,611,1021,2373,623,1404,1374,41,35,921,64
2021-01-04,143,38,53,128,86,169,401,77,254,221,4,1,136,9
2021-01-11,129,29,70,127,82,138,321,81,189,211,5,6,150,12
2021-01-18,136,33,62,108,84,166,320,99,210,174,4,5,149,9
2021-01-25,139,29,75,133,89,151,338,96,197,200,10,8,128,11
2021-02-01,108,32,50,92,79,143,361,84,189,208,7,7,139,7
2021-02-08,130,35,56,88,100,127,315,94,174,176,5,6,98,7
2021-02-15,107,27,39,103,91,127,317,92,191,184,6,2,121,9
