week commencing,Ayrshire and Arran
2019-12-30,105
2020-01-06,121
2020-01-13,114
2020-01-20,103
2020-01-27,96
2020-02-03,88
2020-02-10,76
2020-02-17,105
2020-02-24,99
2020-03-02,105
2020-03-09,109
2020-03-16,101
2020-03-23,108
2020-03-30,121
2020-04-06,131
2020-04-13,158
2020-04-20,139
2020-04-27,122
2020-05-04,100
2020-05-11,120
2020-05-18,99
2020-05-25,88
2020-06-01,75
2020-06-08,88
2020-06-15,88
2020-06-22,84
2020-06-29,76
2020-07-06,83
2020-07-13,92
2020-07-20,70
2020-07-27,87
2020-08-03,91
2020-08-10,63
2020-08-17,85
2020-08-24,66
2020-08-31,86
2020-09-07,88
2020-09-14,58
2020-09-21,73
2020-09-28,100
2020-10-05,87
2020-10-12,94
2020-10-19,96
2020-10-26,118
2020-11-02,128
2020-11-09,121
2020-11-16,120
2020-11-23,127
2020-11-30,116
2020-12-07,91
2020-12-14,113
2020-12-21,110
2020-12-28,118
2021,892
2021-01-04,143
2021-01-11,129
2021-01-18,136
2021-01-25,139
2021-02-01,108
2021-02-08,130
2021-02-15,107
