week commencing,Tayside
2019-12-30,96
2020-01-06,156
2020-01-13,118
2020-01-20,107
2020-01-27,99
2020-02-03,97
2020-02-10,99
2020-02-17,98
2020-02-24,96
2020-03-02,86
2020-03-09,94
2020-03-16,92
2020-03-23,96
2020-03-30,126
2020-04-06,167
2020-04-13,171
2020-04-20,152
2020-04-27,140
2020-05-04,102
2020-05-11,126
2020-05-18,105
2020-05-25,105
2020-06-01,90
2020-06-08,90
2020-06-15,92
2020-06-22,63
2020-06-29,101
2020-07-06,88
2020-07-13,95
2020-07-20,74
2020-07-27,79
2020-08-03,79
2020-08-10,67
2020-08-17,81
2020-08-24,84
2020-08-31,85
2020-09-07,99
2020-09-14,71
2020-09-21,69
2020-09-28,103
2020-10-05,90
2020-10-12,85
2020-10-19,99
2020-10-26,88
2020-11-02,92
2020-11-09,110
2020-11-16,102
2020-11-23,107
2020-11-30,100
2020-12-07,113
2020-12-14,115
2020-12-21,92
2020-12-28,92
2021,921
2021-01-04,136
2021-01-11,150
2021-01-18,149
2021-01-25,128
2021-02-01,139
2021-02-08,98
2021-02-15,121
