week commencing,Ayrshire and Arran
2020-03-16,1
2020-03-23,9
2020-03-30,17
2020-04-06,40
2020-04-13,51
2020-04-20,39
2020-04-27,34
2020-05-04,28
2020-05-11,21
2020-05-18,21
2020-05-25,14
2020-06-01,6
2020-06-08,6
2020-06-15,4
2020-06-22,1
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,1
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,1
2020-09-21,0
2020-09-28,1
2020-10-05,1
2020-10-12,10
2020-10-19,9
2020-10-26,18
2020-11-02,22
2020-11-09,29
2020-11-16,38
2020-11-23,31
2020-11-30,34
2020-12-07,28
2020-12-14,22
2020-12-21,21
2020-12-28,19
2021,260
2021-01-04,36
2021-01-11,43
2021-01-18,47
2021-01-25,43
2021-02-01,27
2021-02-08,36
2021-02-15,28
