week commencing,Highland
2020-03-16,1
2020-03-23,5
2020-03-30,11
2020-04-06,13
2020-04-13,21
2020-04-20,22
2020-04-27,16
2020-05-04,9
2020-05-11,6
2020-05-18,4
2020-05-25,4
2020-06-01,2
2020-06-08,0
2020-06-15,0
2020-06-22,0
2020-06-29,0
2020-07-06,1
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,1
2020-09-21,1
2020-09-28,1
2020-10-05,0
2020-10-12,1
2020-10-19,3
2020-10-26,0
2020-11-02,5
2020-11-09,0
2020-11-16,2
2020-11-23,0
2020-11-30,2
2020-12-07,2
2020-12-14,2
2020-12-21,3
2020-12-28,2
2021,76
2021-01-04,1
2021-01-11,1
2021-01-18,18
2021-01-25,20
2021-02-01,14
2021-02-08,11
2021-02-15,11
