date,case,hospital,icu,death,name,sex,agegroup
2021-01-01,171,99,10,2,Ayrshire and Arran,female,0
2021-01-01,380,34,8,1,Ayrshire and Arran,female,1-14
2021-01-01,379,45,15,3,Ayrshire and Arran,female,15-44
2021-01-01,343,51,10,3,Ayrshire and Arran,female,45-64
2021-01-01,108,60,11,4,Ayrshire and Arran,female,65-74
2021-01-01,224,72,2,2,Ayrshire and Arran,female,75-84
2021-01-01,63,78,11,1,Ayrshire and Arran,female,85+
2021-01-01,19,47,17,5,Ayrshire and Arran,male,0
2021-01-01,216,41,10,0,Ayrshire and Arran,male,1-14
2021-01-01,306,52,5,2,Ayrshire and Arran,male,15-44
2021-01-01,331,83,7,3,Ayrshire and Arran,male,45-64
2021-01-01,202,66,11,2,Ayrshire and Arran,male,65-74
2021-01-01,267,57,5,1,Ayrshire and Arran,male,75-84
2021-01-01,273,78,15,4,Ayrshire and Arran,male,85+
2021-01-01,435,68,15,2,Borders,female,0
2021-01-01,294,52,9,2,Borders,female,1-14
2021-01-01,321,59,5,2,Borders,female,15-44
2021-01-01,216,48,11,2,Borders,female,45-64
2021-01-01,233,60,10,3,Borders,female,65-74
2021-01-01,180,98,4,1,Borders,female,75-84
2021-01-01,269,86,9,1,Borders,female,85+
2021-01-01,349,19,4,1,Borders,male,0
2021-01-01,186,62,6,3,Borders,male,1-14
2021-01-01,236,20,14,3,Borders,male,15-44
2021-01-01,363,25,7,2,Borders,male,45-64
2021-01-01,253,70,5,2,Borders,male,65-74
2021-01-01,424,68,10,4,Borders,male,75-84
2021-01-01,177,53,7,4,Borders,male,85+
2021-01-01,66,1,3,2,Dumfries and Galloway,female,0
2021-01-01,41,59,5,3,Dumfries and Galloway,female,1-14
2021-01-01,223,53,5,4,Dumfries and Galloway,female,15-44
2021-01-01,390,16,6,5,Dumfries and Galloway,female,45-64
2021-01-01,427,77,9,5,Dumfries and Galloway,female,65-74
2021-01-01,238,79,7,2,Dumfries and Galloway,female,75-84
2021-01-01,300,31,5,4,Dumfries and Galloway,female,85+
2021-01-01,235,71,1,3,Dumfries and Galloway,male,0
2021-01-01,238,59,2,2,Dumfries and Galloway,male,1-14
2021-01-01,238,52,15,2,Dumfries and Galloway,male,15-44
2021-01-01,334,126,5,3,Dumfries and Galloway,male,45-64
2021-01-01,425,34,2,2,Dumfries and Galloway,male,65-74
2021-01-01,351,28,5,5,Dumfries and Galloway,male,75-84
2021-01-01,337,59,6,3,Dumfries and Galloway,male,85+
2021-01-01,361,29,8,0,Fife,female,0
2021-01-01,63,66,13,2,Fife,female,1-14
2021-01-01,135,5,12,2,Fife,female,15-44
2021-01-01,217,66,8,4,Fife,female,45-64
2021-01-01,248,76,10,4,Fife,female,65-74
2021-01-01,219,66,6,0,Fife,female,75-84
2021-01-01,179,56,3,2,Fife,female,85+
2021-01-01,493,53,7,1,Fife,male,0
2021-01-01,198,81,18,1,Fife,male,1-14
2021-01-01,310,100,10,3,Fife,male,15-44
2021-01-01,368,63,7,0,Fife,male,45-64
2021-01-01,190,54,11,1,Fife,male,65-74
2021-01-01,448,52,7,0,Fife,male,75-84
2021-01-01,315,65,10,0,Fife,male,85+
2021-01-01,373,26,8,3,Forth Valley,female,0
2021-01-01,181,39,12,2,Forth Valley,female,1-14
2021-01-01,470,8,10,1,Forth Valley,female,15-44
2021-01-01,185,44,6,3,Forth Valley,female,45-64
2021-01-01,305,66,10,1,Forth Valley,female,65-74
2021-01-01,233,6,9,1,Forth Valley,female,75-84
2021-01-01,158,49,11,0,Forth Valley,female,85+
2021-01-01,408,30,16,2,Forth Valley,male,0
2021-01-01,445,54,15,2,Forth Valley,male,1-14
2021-01-01,492,82,12,2,Forth Valley,male,15-44
2021-01-01,363,79,12,4,Forth Valley,male,45-64
2021-01-01,562,36,14,1,Forth Valley,male,65-74
2021-01-01,99,74,16,2,Forth Valley,male,75-84
2021-01-01,511,61,12,2,Forth Valley,male,85+
2021-01-01,201,46,9,3,Grampian,female,0
2021-01-01,394,48,4,2,Grampian,female,1-14
2021-01-01,403,70,4,3,Grampian,female,15-44
2021-01-01,218,82,6,3,Grampian,female,45-64
2021-01-01,306,85,6,1,Grampian,female,65-74
2021-01-01,250,55,5,2,Grampian,female,75-84
