health board,male___0 years,male___1-14 years,male___15-44 years,male___45-64 years,male___65-74 years,male___75-84 years,male___85 years and over,female___0 years,female___1-14 years,female___15-44 years,female___45-64 years,female___65-74 years,female___75-84 years,female___85 years and over
Ayrshire and Arran,1727,27842,58554,51731,22243,11765,3354,1616,26573,61461,57353,24455,14917,6079
Borders,545,8547,16510,17370,7750,4098,1169,472,8340,17195,18188,8113,4941,2032
Dumfries and Galloway,607,10534,21927,21556,10227,5768,1702,641,10131,22311,23204,10614,6792,2776
Fife,1798,29363,64384,50866,20407,10694,3108,1705,27818,66588,53798,22429,13346,5606
Forth Valley,1486,23949,54539,42721,15872,8284,2316,1376,22663,56084,45017,17101,10591,4071
Grampian,3041,45300,115339,78699,28909,14899,4541,2866,43144,110424,79983,30433,18734,8238
Greater Glasgow and Clyde,5974,89233,242400,148477,49679,25986,8008,5750,84895,241630,163295,55494,37435,16724
Highland,1388,23759,52618,46575,20329,10498,3140,1305,22593,50207,49399,21387,13134,5468
Lanarkshire,3441,53523,117257,92071,32037,16275,4418,3265,50906,120220,99216,35799,22314,8458
Lothian,4607,68616,187080,111897,38365,19969,6405,4388,65220,193975,115918,42781,26539,12010
Orkney,82,1625,3490,3353,1442,818,229,96,1521,3474,3315,1447,941,357
Shetland,110,1956,4107,3343,1330,693,174,106,1771,3794,3248,1259,799,300
Tayside,1904,30612,75379,54959,22937,12638,4257,1800,29170,75501,58281,24874,16228,7540
Western Isles,122,2000,3905,4107,1842,980,291,92,1827,3952,4000,1823,1284,605
