health board,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S08000015,3343,3381,3703,3787,3674,3771,4025,4196,3914,4116,4045,4048,3919,3957,3879,3779,3770,3927,3899,3849,4115,4162,4073,4272,4379,4080,4060,4153,3878,4035,4089,4066,4003,3860,3796,3736,4044,4047,4105,3941,3657,3613,4072,4215,4340,4703,5027,5325,5303,5515,5680,5745,5706,6040,6018,5859,5724,5678,5457,5605,5447,5284,5078,4927,4963,4998,4747,4731,4739,4915,5076,5550,4085,3943,3914,3709,3261,2965,3016,2713,2651,2420,2180,1995,1772,1644,1479,1222,983,842,3263
S08000016,1017,1015,1127,1100,1227,1270,1236,1254,1183,1262,1262,1226,1238,1255,1232,1142,1191,1197,1196,1101,1076,1139,1152,1110,1076,1114,1026,957,1087,994,1038,1012,1082,1075,1108,1120,1168,1148,1249,1107,1028,1080,1238,1324,1370,1466,1672,1690,1694,1798,1840,1871,1902,1915,1880,1963,1849,1824,1819,1836,1760,1775,1683,1708,1613,1628,1554,1604,1629,1663,1779,1962,1422,1302,1320,1255,1059,975,1007,1002,907,821,715,680,618,534,451,469,392,331,1024
S08000017,1248,1258,1303,1326,1353,1404,1445,1569,1577,1571,1588,1620,1568,1579,1504,1511,1418,1486,1404,1426,1528,1415,1475,1618,1574,1509,1450,1500,1475,1436,1566,1504,1432,1500,1504,1421,1516,1459,1467,1404,1369,1283,1487,1494,1607,1701,1907,2033,2047,2210,2212,2333,2313,2519,2498,2497,2432,2396,2302,2326,2295,2171,2198,2190,2180,2164,2149,2110,2204,2203,2221,2395,1849,1765,1781,1705,1559,1434,1374,1262,1171,1172,1099,908,876,819,682,582,515,423,1457
S08000019,2862,2911,3087,3117,3178,3261,3512,3419,3406,3512,3533,3515,3382,3399,3380,3250,3149,3323,3575,3836,4003,4076,3947,3981,3730,3702,3830,3828,3789,3581,3707,3502,3534,3630,3474,3552,3815,3629,3695,3795,3620,3570,3769,3865,3866,4287,4552,4618,4674,4785,4840,4838,4773,4878,4799,4699,4544,4406,4288,4136,4009,3914,3665,3518,3515,3531,3294,3491,3468,3475,3564,3946,2818,2662,2724,2554,2277,2087,2046,2067,1810,1771,1556,1494,1213,1081,1035,795,711,617,2148
S08000020,5907,5980,6404,6230,6316,6373,6435,6733,6750,6670,6659,6234,6073,5862,5725,5688,5568,5717,5989,6495,6882,7383,7389,7477,7402,7814,8517,8678,8527,8504,8387,8383,8354,8344,7903,8196,8211,8037,7976,7627,7111,7126,7335,7242,7501,7954,8093,8477,8009,8436,8227,8450,8345,8595,8423,8610,8277,7837,7684,7472,7582,7238,7304,6876,6793,6378,6279,6257,6254,6453,6428,7006,5169,4583,4535,4400,4151,3648,3750,3452,3291,3036,2854,2675,2376,2121,1968,1701,1397,1211,4381
S08000022,2693,2855,3000,3156,3082,3165,3351,3435,3338,3608,3566,3435,3467,3469,3425,3314,3352,3458,3268,3362,3278,3198,3247,3404,3502,3290,3250,3316,3216,3236,3347,3412,3455,3526,3585,3442,3582,3826,3660,3556,3380,3385,3612,3706,3660,4012,4309,4519,4571,4617,4970,5013,5139,5369,5282,5133,5028,5116,4943,4879,4787,4742,4659,4425,4461,4365,4355,4368,4314,4473,4574,4727,3638,3377,3525,3271,2925,2600,2616,2453,2311,2058,1939,1838,1621,1428,1362,1147,963,838,2870
S08000024,8995,9158,9495,9628,9862,9824,9946,10526,9667,10086,9984,9330,9121,8737,8472,8095,8312,8403,9131,11013,11945,12721,13236,13516,14197,14510,15653,16302,15535,15552,15265,14507,14172,14023,13480,13635,13472,12851,12632,12363,11247,11193,11261,11370,11463,11680,12218,12469,11859,12112,12466,12429,12015,12553,12068,12333,11698,11581,11094,10881,10490,10217,9587,9019,9046,8738,8562,8431,8459,8596,8775,9513,7031,6535,6506,6063,5520,5117,4974,4801,4736,4193,4088,3682,3334,2928,2794,2520,2047,1713,6413
S08000025,178,207,180,208,193,215,222,249,226,244,248,255,242,246,211,220,229,215,197,205,186,202,214,231,218,254,230,245,261,225,254,270,233,269,213,246,234,228,244,265,222,207,242,253,252,286,287,301,330,319,349,364,377,378,354,381,331,356,347,335,309,350,313,307,294,331,288,316,280,309,292,333,243,236,261,245,253,161,215,181,180,150,122,133,119,87,77,76,88,59,199
S08000026,216,247,257,237,238,285,269,284,285,282,241,283,301,264,254,262,243,241,274,221,221,231,243,249,260,244,269,251,267,256,291,316,282,254,245,251,270,293,278,289,235,312,263,290,300,335,324,330,329,319,350,333,359,341,375,355,341,355,305,301,315,291,322,329,282,270,277,284,286,270,273,303,210,215,201,230,203,159,169,139,141,127,112,120,92,79,64,62,51,56,162
S08000028,214,251,242,227,265,258,277,264,265,284,298,314,300,272,310,287,258,256,230,233,194,233,250,220,283,206,243,197,228,260,261,301,235,238,258,247,300,275,283,319,272,322,314,331,323,346,375,400,395,428,442,427,403,425,415,409,470,410,401,426,377,398,378,408,374,382,387,367,414,398,384,423,337,273,300,299,248,260,268,249,232,206,171,167,164,151,127,106,79,103,330
S08000029,3503,3629,3797,4027,4000,4093,4190,4427,4315,4347,4299,4063,4090,3973,3931,3789,3677,3938,4012,4881,4833,4960,4876,4626,4638,4471,4513,4398,4392,4419,4357,4178,4280,4176,4123,4298,4454,4462,4464,4421,4097,4066,4320,4373,4480,4780,5080,5351,5191,5530,5620,5673,5498,5692,5645,5541,5438,5260,5382,5198,5079,4864,4717,4567,4558,4375,4262,4395,4398,4533,4725,5185,3757,3621,3585,3280,3046,2573,2640,2506,2341,2213,2028,1803,1610,1485,1257,1083,988,868,3033
S08000030,3704,3880,4000,4223,4152,4372,4513,4465,4295,4514,4444,4278,4067,4359,4220,4208,4128,4427,4724,5092,5472,5671,5476,5214,5546,5765,5960,5964,5448,5309,5450,5313,5072,5178,5130,4972,5111,4997,4704,4624,4311,4296,4454,4329,4535,4909,5281,5492,5414,5781,5816,5902,6048,6321,6148,6312,6152,5957,5723,5739,5634,5512,5162,5021,4916,5189,4755,4839,4957,5023,5243,5764,4225,3928,3888,3709,3425,3066,3199,3018,2894,2632,2471,2335,2117,1801,1793,1600,1334,1105,4164
S08000031,11724,12234,12373,12536,12810,12997,13229,13489,12464,12517,12539,11986,11774,11742,11438,11136,11103,11948,12701,14261,15475,16413,17094,17598,18290,19575,21470,20816,19903,19583,19236,18272,17911,17364,16473,16853,16288,16262,15670,14976,13702,12992,13596,13526,13543,14323,15083,15821,15842,16495,16765,16770,16903,17112,17238,17000,16964,16444,15479,15495,14813,14210,13849,12940,12226,11689,11104,11265,10975,10978,11170,11824,8925,8590,8653,8026,7210,6951,6791,6774,6358,6037,5482,5212,4580,4069,3857,3279,2832,2269,8426
S08000032,6706,6846,7116,7263,7201,7424,7602,7784,7522,7811,7872,7653,7486,7435,7414,7080,7072,7290,7323,7609,7345,7834,7648,7599,7903,7918,8216,7989,7592,7619,7962,7763,8139,8186,8150,8296,8645,8956,8781,8257,7869,7507,8262,8277,8390,8861,9597,9870,9890,10250,10384,10424,10097,10533,10462,10229,10103,9754,9518,9243,8933,8698,8444,7997,8000,7672,7302,7020,7104,7140,7278,7552,5845,5376,5547,5286,4681,4274,4242,4058,3911,3432,3320,2830,2555,2372,2033,1762,1407,1245,4057
