intermediate zone,males___AGE0,males___AGE1,males___AGE2,males___AGE3,males___AGE4,males___AGE5,males___AGE6,males___AGE7,males___AGE8,males___AGE9,males___AGE10,males___AGE11,males___AGE12,males___AGE13,males___AGE14,males___AGE15,males___AGE16,males___AGE17,males___AGE18,males___AGE19,males___AGE20,males___AGE21,males___AGE22,males___AGE23,males___AGE24,males___AGE25,males___AGE26,males___AGE27,males___AGE28,males___AGE29,males___AGE30,males___AGE31,males___AGE32,males___AGE33,males___AGE34,males___AGE35,males___AGE36,males___AGE37,males___AGE38,males___AGE39,males___AGE40,males___AGE41,males___AGE42,males___AGE43,males___AGE44,males___AGE45,males___AGE46,males___AGE47,males___AGE48,males___AGE49,males___AGE50,males___AGE51,males___AGE52,males___AGE53,males___AGE54,males___AGE55,males___AGE56,males___AGE57,males___AGE58,males___AGE59,males___AGE60,males___AGE61,males___AGE62,males___AGE63,males___AGE64,males___AGE65,males___AGE66,males___AGE67,males___AGE68,males___AGE69,males___AGE70,males___AGE71,males___AGE72,males___AGE73,males___AGE74,males___AGE75,males___AGE76,males___AGE77,males___AGE78,males___AGE79,males___AGE80,males___AGE81,males___AGE82,males___AGE83,males___AGE84,males___AGE85,males___AGE86,males___AGE87,males___AGE88,males___AGE89,males___AGE90+,females___AGE0,females___AGE1,females___AGE2,females___AGE3,females___AGE4,females___AGE5,females___AGE6,females___AGE7,females___AGE8,females___AGE9,females___AGE10,females___AGE11,females___AGE12,females___AGE13,females___AGE14,females___AGE15,females___AGE16,females___AGE17,females___AGE18,females___AGE19,females___AGE20,females___AGE21,females___AGE22,females___AGE23,females___AGE24,females___AGE25,females___AGE26,females___AGE27,females___AGE28,females___AGE29,females___AGE30,females___AGE31,females___AGE32,females___AGE33,females___AGE34,females___AGE35,females___AGE36,females___AGE37,females___AGE38,females___AGE39,females___AGE40,females___AGE41,females___AGE42,females___AGE43,females___AGE44,females___AGE45,females___AGE46,females___AGE47,females___AGE48,females___AGE49,females___AGE50,females___AGE51,females___AGE52,females___AGE53,females___AGE54,females___AGE55,females___AGE56,females___AGE57,females___AGE58,females___AGE59,females___AGE60,females___AGE61,females___AGE62,females___AGE63,females___AGE64,females___AGE65,females___AGE66,females___AGE67,females___AGE68,females___AGE69,females___AGE70,females___AGE71,females___AGE72,females___AGE73,females___AGE74,females___AGE75,females___AGE76,females___AGE77,females___AGE78,females___AGE79,females___AGE80,females___AGE81,females___AGE82,females___AGE83,females___AGE84,females___AGE85,females___AGE86,females___AGE87,females___AGE88,females___AGE89,females___AGE90+
S02001236,16,17,28,24,22,24,22,28,18,28,27,25,25,20,19,32,22,30,22,15,8,24,17,24,17,23,40,32,27,39,33,32,30,31,26,24,28,29,27,28,21,19,33,34,28,28,42,40,26,34,31,30,42,44,39,32,39,28,27,33,35,40,46,39,23,32,38,34,26,31,30,38,13,24,22,19,15,19,9,16,16,11,8,5,8,6,1,4,6,9,13,23,23,20,17,20,17,29,27,23,30,27,32,36,28,24,20,23,30,15,12,10,20,25,14,19,33,42,37,36,25,32,24,11,40,25,21,33,28,34,31,23,36,22,31,31,32,46,26,34,26,43,32,37,40,39,48,49,30,31,41,34,31,27,26,24,30,33,30,27,26,30,35,27,20,25,17,21,17,21,27,18,19,13,7,13,18,11,10,9,11,36
S02001237,16,12,22,25,20,24,26,27,26,37,36,33,25,33,40,39,28,55,26,17,25,24,26,24,27,23,23,28,16,20,22,23,23,18,16,25,19,29,30,29,31,23,23,25,20,36,23,32,19,47,38,27,27,43,36,43,39,38,27,25,23,31,31,25,26,23,38,17,26,15,27,25,22,16,17,25,16,15,7,10,13,12,13,9,6,4,6,9,3,10,27,13,20,14,19,27,14,35,31,20,27,35,38,28,32,29,23,21,47,22,28,23,26,13,16,16,34,26,34,28,24,16,21,22,24,21,34,25,38,27,24,34,30,30,25,27,34,29,41,32,39,31,42,36,47,33,41,26,26,35,31,33,26,33,25,34,27,24,26,30,22,13,25,28,13,26,28,20,26,15,29,18,20,15,15,4,9,15,9,16,10,75
S02001238,18,24,41,35,40,47,62,44,65,51,40,57,52,62,47,47,43,48,38,25,18,26,26,24,23,33,41,19,37,36,34,28,32,25,34,22,35,45,24,28,37,24,40,63,42,50,54,31,54,47,56,66,51,63,42,50,54,52,51,59,57,28,47,40,45,41,50,38,38,34,28,40,22,25,21,32,27,17,21,20,26,19,9,15,12,8,11,10,14,8,18,16,21,36,35,41,33,36,49,56,40,54,40,42,55,55,49,47,45,25,28,21,35,30,40,29,30,38,53,31,29,21,24,28,42,28,38,40,48,48,45,56,54,58,45,55,56,71,51,48,59,45,65,57,55,42,67,50,60,48,39,44,38,50,43,38,33,36,30,30,42,30,43,35,28,33,27,36,25,27,15,31,23,22,27,18,11,17,25,19,17,68
S02001239,31,27,30,21,26,22,22,27,25,23,33,20,29,18,18,23,21,26,22,25,41,64,59,42,63,49,77,90,62,75,70,67,68,44,41,57,52,55,35,57,34,38,25,28,25,35,20,31,20,21,45,38,15,36,21,32,26,33,27,19,38,14,19,18,23,19,29,32,14,24,15,24,18,18,8,11,8,13,15,14,8,12,11,9,5,7,8,9,6,2,4,34,29,27,36,23,31,29,18,27,26,25,26,23,28,21,25,21,19,23,42,55,75,74,79,49,30,60,49,65,71,63,60,78,56,53,66,54,40,21,30,30,33,28,29,27,26,30,32,14,25,41,30,21,22,25,38,21,39,39,17,32,26,37,37,27,21,20,24,25,20,17,22,14,21,17,22,20,17,15,20,21,21,16,20,12,16,16,6,15,14,18
S02001240,20,20,24,12,16,20,17,20,15,30,15,20,24,13,17,17,13,13,14,10,18,17,19,24,12,28,36,51,53,53,59,80,53,70,38,41,46,42,41,38,38,38,25,35,29,28,31,26,28,36,25,31,25,26,38,22,27,21,18,25,25,29,29,20,22,16,10,19,23,16,15,21,12,13,15,13,15,11,15,13,7,10,6,9,10,7,4,5,1,4,20,23,15,15,19,11,13,18,31,25,19,19,26,19,24,21,19,12,18,11,11,18,27,22,20,32,31,49,51,46,38,47,37,31,48,38,51,50,33,35,34,15,36,33,27,34,34,35,36,28,41,19,33,28,29,24,28,41,27,24,30,20,29,24,25,19,26,17,19,14,23,27,23,14,12,14,18,24,9,16,16,10,16,15,11,11,12,15,9,11,4,54
S02001241,16,20,23,23,22,25,15,25,25,16,16,19,23,13,12,11,16,14,14,9,11,15,7,13,19,15,23,30,26,23,44,26,36,34,34,17,30,34,23,19,20,23,41,31,25,27,31,32,27,27,16,19,20,19,32,23,22,22,20,33,29,29,25,12,31,24,14,19,15,18,31,20,17,14,17,8,16,9,17,14,12,8,14,10,19,14,15,7,11,6,26,12,28,16,14,20,15,19,33,30,19,20,12,20,15,10,13,18,22,12,12,4,9,26,15,10,22,24,21,18,20,28,20,29,23,36,23,30,20,26,32,32,32,28,27,26,29,31,33,31,22,16,28,31,28,39,28,25,25,41,28,30,19,32,20,24,30,27,19,16,29,25,32,22,22,18,29,30,21,17,17,21,19,22,18,18,20,29,13,15,19,74
S02001242,26,19,34,23,26,20,31,30,32,27,16,11,6,24,18,20,23,17,12,12,12,13,18,23,15,23,30,47,38,34,53,36,29,29,36,41,30,32,42,43,32,37,36,38,35,38,28,33,33,34,50,38,30,46,30,36,30,42,50,33,41,44,30,37,21,11,35,31,27,29,38,20,23,22,19,22,24,12,16,13,10,27,6,22,8,18,6,7,7,6,15,19,22,26,22,28,14,39,24,18,32,23,18,29,21,25,17,12,10,16,18,12,16,16,26,13,28,36,45,35,31,33,33,51,36,31,35,42,36,41,45,12,26,52,28,27,37,33,27,31,32,37,33,29,31,38,38,43,34,32,34,32,22,33,29,21,25,33,21,22,32,26,28,29,21,25,26,23,22,20,34,23,33,29,21,19,18,19,15,24,12,52
S02001243,33,25,36,33,47,44,20,36,25,36,26,33,30,22,28,16,22,16,11,16,10,17,28,19,9,17,34,40,29,32,35,44,35,45,33,40,27,30,49,36,41,39,32,22,24,42,44,35,22,21,55,44,39,41,34,37,25,31,40,29,37,43,39,47,36,28,24,39,39,38,23,42,29,23,22,21,21,19,20,15,15,20,13,11,12,17,13,7,3,5,20,22,36,41,28,32,23,22,31,28,19,31,29,23,24,25,22,18,26,9,8,4,21,21,22,26,25,29,36,38,27,29,44,36,41,43,45,38,43,40,36,35,28,28,30,23,39,45,46,26,51,38,35,34,41,51,48,53,32,43,37,34,40,47,28,37,32,31,29,31,45,33,26,29,28,31,20,35,29,33,21,26,22,32,21,24,14,13,18,11,14,30
S02001244,22,16,12,25,7,14,17,19,21,18,10,22,24,15,16,13,24,18,13,8,14,6,32,17,19,19,44,31,28,33,39,36,34,21,40,32,38,34,37,26,20,14,26,29,23,36,14,30,17,23,27,24,23,14,13,34,28,22,26,21,24,27,14,24,21,31,18,12,28,29,18,24,16,18,13,12,18,11,11,15,12,5,8,12,9,6,5,8,5,5,7,33,21,18,14,26,23,33,29,25,16,21,21,17,28,12,12,14,14,12,16,18,22,16,24,18,52,30,30,30,43,21,24,28,37,30,25,39,28,32,21,22,19,27,23,20,24,27,20,22,31,19,18,20,21,24,36,26,25,20,20,18,32,17,25,18,27,16,29,21,21,26,27,17,18,18,20,13,19,17,16,18,13,17,10,16,10,9,23,12,8,22
S02001245,17,24,35,26,24,25,29,38,21,30,35,36,30,39,32,22,23,25,16,18,15,21,18,17,30,21,33,40,38,29,36,27,29,43,24,48,37,44,43,21,23,29,27,32,34,21,34,38,29,34,43,22,41,31,25,41,25,23,27,26,29,31,16,24,20,26,32,33,20,28,26,27,15,14,16,14,16,8,18,4,12,12,5,5,6,11,6,5,4,1,16,17,26,20,28,23,29,26,15,35,20,30,22,20,32,17,17,19,21,12,11,16,16,25,23,26,24,39,22,32,20,27,34,26,20,24,60,33,38,45,30,31,45,26,34,23,45,28,35,41,35,29,40,30,30,31,36,30,27,36,39,17,29,34,35,26,22,28,29,27,20,23,29,14,18,14,19,22,12,13,16,21,18,19,14,10,15,13,8,11,10,9
