local authority,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S12000005,515,544,542,569,516,603,627,569,548,553,630,577,555,552,561,519,555,591,591,552,540,549,576,623,612,612,590,549,573,491,594,578,602,614,517,569,584,600,625,583,610,563,627,637,602,727,765,792,755,863,812,921,785,799,850,831,798,789,741,757,663,698,634,642,662,633,600,628,669,653,670,698,499,522,493,469,412,376,313,318,311,298,254,235,175,139,172,118,140,99,333
S12000006,1248,1258,1303,1326,1353,1404,1445,1569,1577,1571,1588,1620,1568,1579,1504,1511,1418,1486,1404,1426,1528,1415,1475,1618,1574,1509,1450,1500,1475,1436,1566,1504,1432,1500,1504,1421,1516,1459,1467,1404,1369,1283,1487,1494,1607,1701,1907,2033,2047,2210,2212,2333,2313,2519,2498,2497,2432,2396,2302,2326,2295,2171,2198,2190,2180,2164,2149,2110,2204,2203,2221,2395,1849,1765,1781,1705,1559,1434,1374,1262,1171,1172,1099,908,876,819,682,582,515,423,1457
S12000008,1197,1222,1319,1349,1262,1348,1461,1436,1344,1377,1362,1328,1274,1283,1331,1226,1280,1272,1292,1260,1357,1332,1354,1444,1467,1405,1424,1473,1455,1466,1439,1478,1539,1405,1376,1387,1411,1428,1496,1400,1289,1228,1385,1463,1477,1622,1727,1815,1782,1917,1930,1955,1943,2054,1924,1892,1807,1843,1755,1761,1696,1683,1549,1523,1508,1563,1458,1438,1469,1465,1538,1685,1201,1205,1149,1077,913,883,860,820,766,749,618,588,524,456,402,325,279,234,888
S12000010,1017,1075,1199,1151,1209,1187,1314,1364,1240,1303,1359,1279,1278,1180,1177,1018,1098,1142,1129,1031,1067,1104,1150,1162,1209,1257,1345,1117,1064,1032,1116,1116,1177,1124,1105,1206,1258,1277,1184,1311,1185,1241,1321,1309,1358,1502,1509,1618,1578,1573,1684,1694,1579,1761,1641,1712,1625,1629,1551,1547,1453,1488,1354,1315,1262,1187,1210,1207,1199,1166,1330,1366,1044,959,1065,887,861,794,738,680,736,590,597,498,517,432,388,333,310,246,830
S12000011,874,980,1066,1087,1178,1263,1301,1378,1310,1250,1320,1335,1274,1301,1246,1159,1158,1175,1131,1048,1060,1089,1045,991,1011,1011,929,863,883,918,907,820,853,825,925,890,1029,1088,1177,1154,1209,1154,1205,1178,1236,1352,1353,1395,1329,1445,1399,1477,1459,1391,1536,1402,1422,1335,1323,1340,1279,1248,1275,1153,1076,1076,1042,992,1004,1041,1077,1136,852,834,856,800,685,699,630,649,629,592,601,508,485,427,415,342,296,263,966
S12000013,214,251,242,227,265,258,277,264,265,284,298,314,300,272,310,287,258,256,230,233,194,233,250,220,283,206,243,197,228,260,261,301,235,238,258,247,300,275,283,319,272,322,314,331,323,346,375,400,395,428,442,427,403,425,415,409,470,410,401,426,377,398,378,408,374,382,387,367,414,398,384,423,337,273,300,299,248,260,268,249,232,206,171,167,164,151,127,106,79,103,330
S12000014,1532,1565,1644,1692,1742,1718,1893,1875,1900,1959,1881,1885,1776,1782,1702,1684,1617,1672,1734,1754,1791,1725,1768,1856,1786,1878,1903,1966,1865,1803,1988,1878,1953,2052,1948,1996,2142,2082,2082,2112,1988,1974,2074,2163,2203,2341,2502,2495,2466,2526,2590,2580,2535,2551,2529,2439,2407,2273,2209,2181,2134,2035,1949,1812,1797,1828,1712,1850,1815,1820,1840,2016,1431,1380,1357,1285,1143,1047,1066,1089,945,881,804,761,662,569,506,433,359,312,1095
S12000017,2048,2147,2279,2402,2300,2393,2494,2578,2470,2706,2676,2606,2602,2606,2535,2493,2510,2582,2382,2422,2276,2222,2268,2469,2562,2380,2422,2479,2411,2443,2624,2658,2703,2734,2782,2672,2769,2927,2760,2687,2508,2481,2702,2766,2726,2960,3179,3379,3361,3405,3658,3623,3799,3916,3882,3669,3634,3695,3559,3541,3462,3423,3329,3186,3222,3155,3110,3056,3073,3130,3254,3266,2557,2316,2475,2317,2062,1797,1807,1702,1604,1394,1372,1268,1167,1017,956,792,674,613,2062
S12000018,665,691,700,757,766,795,795,830,863,798,854,831,805,858,835,785,735,829,838,876,800,898,948,945,911,880,988,998,945,853,903,859,963,848,841,887,905,875,927,870,801,798,799,918,870,948,1005,1097,1090,1145,1274,1298,1301,1295,1310,1366,1354,1323,1271,1271,1097,1131,1070,1026,960,966,916,990,960,928,940,997,798,711,781,730,607,608,542,564,537,515,460,401,354,333,348,266,228,202,700
S12000019,1095,1124,1198,1213,1191,1120,1192,1139,1126,1103,1072,1016,1055,1009,990,947,912,998,1003,971,911,927,916,1035,1059,1034,1123,1157,1092,1116,1205,1124,1183,1148,1156,1204,1248,1215,1266,1212,1083,1032,1121,1110,1160,1127,1229,1346,1330,1289,1360,1346,1303,1342,1303,1370,1317,1274,1246,1215,1210,1211,1087,1043,1052,1044,994,1040,1015,1080,1049,1190,899,810,819,749,629,608,568,535,540,476,452,418,337,290,282,241,223,172,569
