scottish parliamentary constituency,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S16000074,692,766,779,698,671,743,711,643,675,575,562,571,503,551,443,443,421,486,1107,1958,2420,2584,2424,2266,2104,2163,2410,2447,2359,2335,2224,2009,1814,1694,1448,1581,1386,1322,1270,1176,1037,1020,948,971,925,950,946,910,863,893,860,871,801,859,800,901,893,727,773,753,715,701,701,658,574,565,579,550,518,554,503,625,413,330,350,364,352,271,336,316,296,268,259,238,252,206,204,147,124,122,449
S16000075,970,928,943,953,899,960,981,923,865,903,912,816,780,732,751,686,744,739,583,554,566,764,782,766,867,1103,1421,1489,1414,1311,1238,1259,1351,1327,1276,1295,1298,1220,1167,1081,1003,903,997,955,959,1019,992,1084,1007,1103,1060,1058,1102,1169,1110,1108,1093,1050,1049,1051,1058,1037,978,1014,1001,900,896,850,889,941,960,987,731,574,595,585,550,518,527,450,476,400,410,389,320,283,287,217,197,151,496
S16000076,851,849,968,944,925,861,936,992,943,923,883,825,842,835,743,811,744,777,664,605,619,813,791,857,803,978,1175,1267,1184,1257,1168,1223,1191,1196,1164,1204,1174,1233,1175,1131,1057,1065,1063,1006,987,1103,1107,1146,1052,1084,1162,1148,1157,1217,1170,1271,1177,1130,1073,1072,1072,981,1024,874,900,777,814,784,763,813,738,856,636,589,583,569,589,515,491,461,491,466,404,362,321,317,309,261,236,212,665
S16000077,895,828,956,946,946,962,965,1006,1043,1031,1013,977,944,874,853,852,856,848,817,781,721,719,773,808,808,836,795,838,808,878,908,937,936,978,984,1045,1127,1133,1119,1066,1058,1085,1105,1103,1130,1148,1165,1281,1210,1257,1261,1273,1265,1283,1344,1223,1237,1169,1120,1075,1109,1057,1089,1041,1050,969,935,965,981,990,916,1019,784,711,630,613,593,471,542,489,458,409,371,357,307,273,250,221,169,159,525
S16000078,743,793,821,834,928,819,884,1034,1063,1063,1019,996,940,888,905,879,841,862,820,706,722,628,612,706,747,657,643,660,642,685,748,773,831,888,929,931,981,988,1038,990,919,1024,989,1001,1094,1231,1232,1303,1189,1246,1193,1207,1227,1214,1162,1204,1125,1071,1101,1056,1042,1004,1051,987,1036,957,941,917,885,964,968,996,725,649,640,620,572,485,497,444,428,415,401,344,343,241,254,230,207,169,679
S16000079,722,726,771,796,801,879,819,853,826,895,861,854,800,810,785,844,784,808,798,862,820,881,915,866,869,834,902,894,879,862,950,877,920,877,920,968,915,1005,1024,875,845,781,909,897,888,993,1018,1026,1023,1125,1161,1100,1084,1181,1053,1068,1041,995,924,904,915,871,860,805,804,787,733,726,740,756,713,775,605,550,588,524,457,425,434,435,397,312,328,255,259,230,179,141,111,109,291
S16000080,865,905,944,970,998,1031,1044,1106,1035,1136,1134,1096,1124,1132,1081,1032,1064,1121,1047,1049,941,1068,1046,1071,1108,1122,1071,1073,1023,1009,1134,1137,1108,1049,1131,1155,1129,1126,1046,1095,970,1079,1093,1142,1234,1263,1332,1388,1379,1404,1491,1419,1362,1352,1357,1337,1335,1264,1172,1160,1070,994,933,889,962,914,915,887,858,901,962,902,719,631,602,557,573,495,451,473,401,329,307,285,235,191,223,154,107,105,363
S16000081,646,707,760,738,762,767,774,763,853,797,822,791,826,831,855,803,733,774,711,662,650,747,661,716,778,730,697,694,724,678,741,733,789,764,778,823,905,880,829,811,859,804,847,827,945,1045,1033,994,1020,1138,1016,1115,1096,1161,1114,1169,1161,1087,1074,1031,989,993,924,880,912,893,831,858,858,867,937,1018,710,658,697,616,577,563,570,490,440,423,426,381,314,328,263,244,219,183,738
S16000082,619,662,658,718,787,769,782,769,787,805,853,759,765,790,798,766,775,848,818,727,737,734,772,740,773,738,729,739,625,715,770,785,789,764,762,855,864,792,819,844,733,710,804,815,873,970,976,1031,1010,1073,1021,1114,1103,1154,1172,1153,1181,1064,1084,1032,1005,992,968,950,944,1045,907,976,990,1068,1111,1205,842,829,814,752,663,603,616,547,559,516,443,413,380,313,336,298,238,169,760
S16000083,463,485,534,526,540,536,598,589,599,665,610,592,598,578,601,553,563,586,592,586,571,571,578,579,582,515,507,529,528,546,508,537,550,584,576,567,558,599,633,546,542,619,616,660,642,740,778,785,841,875,898,980,929,1034,1049,1022,999,1016,987,960,971,945,963,911,904,891,930,985,893,1013,950,1063,789,753,744,718,645,613,595,580,526,498,438,420,304,309,314,252,214,169,564
S16000084,610,605,669,718,694,687,715,784,710,776,780,760,742,770,735,690,723,746,807,751,820,785,777,805,847,768,766,743,751,749,775,814,715,714,741,659,788,799,807,767,691,737,799,838,879,950,996,987,1043,1024,1103,1106,1068,1201,1212,1163,1137,1252,1102,1192,1191,1141,1110,1106,1115,1094,1048,1084,1065,1105,1107,1265,971,877,948,845,767,683,721,636,646,608,556,538,421,437,357,339,292,244,939
S16000085,779,797,822,781,825,859,846,888,878,925,888,797,796,780,769,782,774,754,820,820,830,790,837,873,884,902,889,885,961,921,908,929,943,956,861,851,951,905,905,846,819,855,909,889,947,946,1045,1083,1060,1155,1097,1170,1111,1154,1122,1187,1061,1059,1029,1053,1043,1017,1019,970,901,871,874,878,938,950,977,1065,802,700,702,708,659,561,574,548,472,451,430,396,362,313,280,265,180,144,604
