date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,nhs_western_isles_scotland,golden_jubilee_nationalhospital,scotland
26/03/2020,14,5,11,20,29,8,125,7,N/A,66,*,*,26,*,*,311
27/03/2020,19,6,13,23,31,13,153,6,41,73,*,*,25,*,*,404
28/03/2020,20,15,13,30,32,16,200,7,62,83,*,*,32,*,*,511
29/03/2020,28,20,15,31,34,19,213,11,71,88,*,*,34,*,*,565
30/03/2020,34,17,16,41,36,20,226,8,83,99,*,*,46,*,*,627
31/03/2020,37,28,21,52,43,28,287,11,89,107,*,*,48,*,*,752
01/04/2020,32,29,20,34,52,31,331,10,101,118,*,*,52,*,*,815
02/04/2020,39,28,19,65,57,30,347,16,115,128,*,*,64,*,*,910
03/04/2020,45,34,19,76,65,45,404,17,113,149,*,*,67,*,*,1037
04/04/2020,47,36,20,84,63,44,421,24,133,158,*,*,74,*,*,1107
05/04/2020,46,40,23,87,59,53,458,35,151,166,*,*,83,*,*,1204
06/04/2020,49,41,21,95,55,61,476,34,151,183,*,*,93,*,*,1262
07/04/2020,55,39,16,89,60,61,534,35,168,179,*,*,91,*,*,1328
08/04/2020,63,39,20,96,59,62,555,34,176,204,*,*,105,*,*,1415
09/04/2020,63,46,22,100,56,72,563,30,188,204,*,*,94,*,*,1440
10/04/2020,62,45,24,94,53,72,571,42,196,205,*,*,94,*,*,1461
11/04/2020,62,44,25,97,57,73,590,39,181,200,*,*,97,*,*,1467
12/04/2020,62,44,24,99,58,78,597,40,187,201,*,*,94,*,*,1487
13/04/2020,67,41,23,101,57,77,583,46,189,204,*,*,92,*,*,1482
14/04/2020,72,42,19,102,56,78,594,43,187,221,*,*,97,*,*,1514
15/04/2020,72,42,20,92,56,73,598,49,167,221,*,*,93,*,*,1486
16/04/2020,79,43,20,96,51,71,606,49,154,217,*,*,90,*,*,1479
17/04/2020,82,43,19,98,47,69,580,49,179,229,*,*,89,*,*,1487
