date,nhs_ayrshire_arran,nhs_borders,nhs_dumfries_galloway,nhs_fife,nhs_forth_valley,nhs_grampian,nhs_greater_glasgow_clyde,nhs_highland,nhs_lanarkshire,nhs_lothian,nhs_orkney,nhs_shetland,nhs_tayside,,golden_jubilee_nationalhospital,scotland,,,,,,,,,
26/3/2020,14,5,11,20,29,8,125,7,N/A,66,*,*,26,*,*,311,,,,,,,,,
27/3/2020,19,6,13,23,31,13,153,6,41,73,*,*,25,*,*,404,,,,,,,,,
28/3/2020,20,15,13,30,32,16,200,7,62,83,*,*,32,*,*,511,,,,,,,,,
29/3/2020,28,20,15,31,34,19,213,11,71,88,*,*,34,*,*,565,,,,,,,,,
30/3/2020,34,17,16,41,36,20,226,8,83,99,*,*,46,*,*,627,,,,,,,,,
31/3/2020,37,28,21,52,43,28,287,11,89,107,*,*,48,*,*,752,,,,,,,,,
1/4/2020,32,29,20,34,52,31,331,10,101,118,*,*,52,*,*,815,,,,,,,,,
2/4/2020,39,28,19,65,57,30,347,16,115,128,*,*,64,*,*,910,,,,,,,,,
3/4/2020,45,34,19,76,65,45,404,17,113,149,*,*,67,*,*,"1,037",,,,,,,,,
4/4/2020,47,36,20,84,63,44,421,24,133,158,*,*,74,*,*,"1,107",,,,,,,,,
5/4/2020,46,40,23,87,59,53,458,35,151,166,*,*,83,*,*,"1,204",,,,,,,,,
6/4/2020,49,41,21,95,55,61,476,34,151,183,*,*,93,*,*,"1,262",,,,,,,,,
7/4/2020,55,39,16,89,60,61,534,35,168,179,*,*,91,*,*,"1,328",,,,,,,,,
8/4/2020,63,39,20,96,59,62,555,34,176,204,*,*,105,*,*,"1,415",,,,,,,,,
9/4/2020,63,46,22,100,56,72,563,30,188,204,*,*,94,*,*,"1,440",,,,,,,,,
10/4/2020,62,45,24,94,53,72,571,42,196,205,*,*,94,*,*,"1,461",,,,,,,,,
11/4/2020,62,44,25,97,57,73,590,39,181,200,*,*,97,*,*,"1,467",,,,,,,,,
12/4/2020,62,44,24,99,58,78,597,40,187,201,*,*,94,*,*,"1,487",,,,,,,,,
13/4/2020,67,41,23,101,57,77,583,46,189,204,*,*,92,*,*,"1,482",,,,,,,,,
14/4/2020,72,42,19,102,56,78,594,43,187,221,*,*,97,*,*,"1,514",,,,,,,,,
15/4/2020,72,42,20,92,56,73,598,49,167,221,*,*,93,*,*,"1,486",,,,,,,,,
16/4/2020,79,43,20,96,51,71,606,49,154,217,*,*,90,*,*,"1,479",,,,,,,,,
17/4/2020,82,43,19,98,47,69,580,49,179,229,*,*,89,*,*,"1,487",,,,,,,,,
18/4/2020,81,42,21,91,51,75,593,46,173,236,*,*,89,*,*,"1,501",,,,,,,,,
19/4/2020,91,43,20,105,50,72,593,45,180,228,*,*,90,*,*,"1,520",,,,,,,,,
20/4/2020,95,41,24,105,49,73,603,46,169,224,*,*,87,*,*,"1,520",,,,,,,,,
21/4/2020,87,39,23,102,43,75,583,43,163,234,*,*,77,*,*,"1,472",,,,,,,,,
22/4/2020,79,38,18,100,44,68,574,39,161,241,*,*,66,*,*,"1,432",,,,,,,,,
23/4/2020,78,34,16,113,36,71,564,39,167,230,*,*,71,*,*,"1,423",,,,,,,,,
24/4/2020,69,34,11,110,41,71,561,26,163,230,*,*,64,*,*,"1,383",,,,,,,,,
25/4/2020,69,34,11,111,40,69,557,32,158,234,*,*,67,*,*,"1,385",,,,,,,,,
26/4/2020,66,34,12,113,39,71,557,33,158,227,*,*,69,*,*,"1,382",,,,,,,,,
27/4/2020,68,34,12,109,36,73,557,32,167,227,*,*,69,*,*,"1,387",,,,,,,,,
28/4/2020,66,32,13,113,40,71,542,27,174,213,*,*,65,*,*,"1,359",,,,,,,,,
29/4/2020,61,31,13,114,42,80,555,19,170,209,*,*,66,*,*,"1,363",,,,,,,,,
30/4/2020,62,31,10,103,37,85,548,15,163,203,*,*,65,*,*,"1,324",,,,,,,,,
1/5/2020,62,30,10,100,37,90,538,8,160,200,*,*,65,*,*,"1,302",,,,,,,,,
2/5/2020,61,27,8,100,34,94,530,13,152,197,*,*,59,*,*,"1,277",,,,,,,,,
3/5/2020,61,25,8,100,36,98,526,13,147,194,*,*,56,*,*,"1,266",,,,,,,,,
4/5/2020,59,25,7,100,36,99,533,11,150,200,*,*,57,*,*,"1,279",,,,,,,,,
5/5/2020,57,26,5,89,30,97,523,11,144,197,*,*,44,*,*,"1,225",,,,,,,,,
6/5/2020,56,28,*,90,27,94,509,13,136,197,*,*,47,*,*,"1,204",,,,,,,,,
7/5/2020,54,29,*,86,26,93,506,12,135,202,*,*,48,*,*,"1,199",,,,,,,,,
8/5/2020,52,28,*,88,26,89,502,9,125,195,*,*,47,*,*,"1,168",,,,,,,,,
9/5/2020,55,28,*,84,28,91,496,10,120,197,*,*,44,*,*,"1,159",,,,,,,,,
10/5/2020,43,27,*,82,27,92,492,9,113,200,*,*,41,*,*,"1,132",,,,,,,,,
11/5/2020,41,28,*,80,28,99,497,9,117,202,*,*,37,*,5,"1,145",,,,,,,,,
12/5/2020,39,26,*,81,26,99,496,6,114,208,*,*,29,*,5,"1,131",,,,,,,,,
13/5/2020,39,27,*,75,25,97,486,5,106,206,*,*,27,*,6,"1,101",,,,,,,,,
14/5/2020,41,27,*,76,22,98,473,5,122,203,*,*,25,*,6,"1,100",,,,,,,,,
15/5/2020,42,25,*,75,21,96,460,5,113,200,*,*,23,*,*,"1,066",,,,,,,,,
16/5/2020,33,25,*,74,19,92,433,7,107,193,*,*,22,*,*,"1,011",,,,,,,,,
17/5/2020,32,26,*,76,19,89,432,6,107,192,*,*,23,*,*,"1,007",,,,,,,,,
18/5/2020,32,27,*,75,19,88,434,6,103,192,*,*,23,*,*,"1,005",,,,,,,,,
19/5/2020,32,21,*,74,19,84,428,5,95,187,*,*,18,*,*,969,,,,,,,,,
20/5/2020,29,21,*,72,15,80,412,13,91,183,*,*,21,*,*,943,,,,,,,,,
21/5/2020,29,12,*,70,14,72,400,12,95,180,*,*,20,*,*,909,,,,,,,,,
22/5/2020,26,12,*,69,14,68,389,12,90,174,*,*,15,*,*,874,,,,,,,,,
23/5/2020,21,11,*,69,16,70,379,10,86,162,*,*,13,*,*,841,,,,,,,,,
24/5/2020,25,11,*,69,14,72,379,10,83,165,*,*,13,*,*,845,,,,,,,,,
25/5/2020,21,11,*,69,16,71,384,10,82,168,*,*,14,*,*,849,,,,,,,,,
26/5/2020,19,9,*,67,15,66,382,8,83,169,*,*,13,*,*,833,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
