Week,Gender,Under 1 year,01-14,15-44,45-64,65-74,75-84,85+
30-Dec-19,Female,0,0,0,0,0,0,0
06-Jan-20,Female,0,0,0,0,0,0,0
13-Jan-20,Female,0,0,0,0,0,0,0
20-Jan-20,Female,0,0,0,0,0,0,0
27-Jan-20,Female,0,0,0,0,0,0,0
03-Feb-20,Female,0,0,0,0,0,0,0
10-Feb-20,Female,0,0,0,0,0,0,0
17-Feb-20,Female,0,0,0,0,0,0,0
24-Feb-20,Female,0,0,0,0,0,0,0
02-Mar-20,Female,0,0,0,0,0,0,0
09-Mar-20,Female,0,0,0,0,0,0,0
16-Mar-20,Female,0,0,0,1,3,0,1
23-Mar-20,Female,0,0,0,3,3,9,11
30-Mar-20,Female,0,0,2,12,20,50,43
06-Apr-20,Female,0,0,2,17,33,97,113
13-Apr-20,Female,0,0,1,16,32,93,168
20-Apr-20,Female,0,0,3,17,43,105,178
27-Apr-20,Female,0,0,2,12,26,66,173
04-May-20,Female,0,0,1,16,20,67,118
11-May-20,Female,0,0,0,10,20,42,106
30-Dec-19,Male,0,0,0,0,0,0,0
06-Jan-20,Male,0,0,0,0,0,0,0
13-Jan-20,Male,0,0,0,0,0,0,0
20-Jan-20,Male,0,0,0,0,0,0,0
27-Jan-20,Male,0,0,0,0,0,0,0
03-Feb-20,Male,0,0,0,0,0,0,0
10-Feb-20,Male,0,0,0,0,0,0,0
17-Feb-20,Male,0,0,0,0,0,0,0
24-Feb-20,Male,0,0,0,0,0,0,0
02-Mar-20,Male,0,0,0,0,0,0,0
09-Mar-20,Male,0,0,0,0,0,0,0
16-Mar-20,Male,0,0,0,0,1,3,1
23-Mar-20,Male,0,0,0,9,8,15,4
30-Mar-20,Male,0,0,2,18,47,57,31
06-Apr-20,Male,0,0,2,47,68,131,100
13-Apr-20,Male,0,0,1,30,49,129,131
20-Apr-20,Male,0,0,4,36,56,121,96
27-Apr-20,Male,0,0,0,26,48,77,96
04-May-20,Male,0,0,1,19,30,78,65
11-May-20,Male,0,0,2,15,26,51,60
